timestamp,open,high,low,close,volume
2025-07-25 11:00:00,116308.48,116782.13,116308.48,116543.58,1141.32627
2025-07-25 12:00:00,116543.59,116656.99,115963.97,116105.96,1288.03796
2025-07-25 13:00:00,116105.96,116600.0,115564.75,116216.27,1802.0313
2025-07-25 14:00:00,116216.27,116286.87,114908.0,114960.01,2025.1148
2025-07-25 15:00:00,114960.01,115846.39,114916.48,115727.08,1246.60929
2025-07-25 16:00:00,115727.07,116214.88,115455.46,116185.32,941.06562
2025-07-25 17:00:00,116185.31,116345.74,115871.8,116042.5,679.50606
2025-07-25 18:00:00,116042.51,116568.73,116042.5,116491.53,629.2576
2025-07-25 19:00:00,116491.53,116997.21,116405.7,116688.6,839.57954
2025-07-25 20:00:00,116688.6,117306.0,116578.02,117040.01,737.6538
2025-07-25 21:00:00,117040.01,117377.59,116956.0,117214.23,418.42958
2025-07-25 22:00:00,117214.23,117343.89,117102.3,117279.97,248.88589
2025-07-25 23:00:00,117279.97,117630.0,117186.83,117614.31,371.50937
2025-07-26 00:00:00,117614.31,117614.32,117330.24,117496.0,388.41101
2025-07-26 01:00:00,117496.0,117550.9,117138.38,117153.73,266.66811
2025-07-26 02:00:00,117153.74,117750.0,117153.73,117469.0,391.82574
2025-07-26 03:00:00,117469.01,117603.0,117462.64,117489.62,175.33791
2025-07-26 04:00:00,117489.61,117547.92,117396.95,117496.81,182.72574
2025-07-26 05:00:00,117496.8,117541.19,117419.83,117444.99,155.81148
2025-07-26 06:00:00,117444.99,117458.0,117320.0,117350.71,213.86521
2025-07-26 07:00:00,117350.71,117382.76,117304.46,117304.47,454.07762
2025-07-26 08:00:00,117304.47,117615.12,117304.46,117557.14,259.96197
2025-07-26 09:00:00,117557.14,117617.65,117458.0,117570.6,190.39173
2025-07-26 10:00:00,117570.6,118217.45,117545.1,117971.93,749.16688
2025-07-26 11:00:00,117971.94,118072.41,117776.1,117776.11,349.789
2025-07-26 12:00:00,117776.1,117990.0,117772.13,117914.17,171.77445
2025-07-26 13:00:00,117914.16,118220.0,117855.15,118125.24,341.83674
